p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expression
1.77067705177161e-09,0.672087247254487,0.435,0.143,3.805007916552e-05,Unchanged
1.94230233924764e-09,0.213102458860217,0.565,0.398,4.17381349680925e-05,Unchanged
1.97434175809773e-09,0.566111928232916,0.417,0.172,4.24266300397621e-05,Unchanged
2.02076257877336e-09,0.266962970933679,0.409,0.31,4.34241670552606e-05,Unchanged
2.35386914079349e-09,-1.56877604942627,0.991,0.997,5.05822939665113e-05,Down-regulated
2.58687099425203e-09,0.140688693411265,0.383,0.264,5.55892707954819e-05,Unchanged
2.71680502671817e-09,-1.83587966944205,0.035,0.285,5.83814232191467e-05,Down-regulated
2.74594228810104e-09,0.969356822216654,0.791,0.635,5.90075538290032e-05,Unchanged
2.74916614733721e-09,-1.45241441310006,0.991,0.998,5.90768313401293e-05,Unchanged
2.83770292238961e-09,1.24159268798968,0.617,0.228,6.09793980992303e-05,Unchanged
2.8844879838598e-09,0.221842199841604,0.304,0.214,6.19847622851632e-05,Unchanged
3.03509996222988e-09,0.0467565050127544,0.357,0.357,6.5221263088358e-05,Unchanged
3.19921513724298e-09,-0.176071447425071,0.852,0.77,6.87479340842145e-05,Unchanged
3.33154322704376e-09,-0.143445141341294,0.591,0.622,7.15915324059433e-05,Unchanged
3.45233301641576e-09,0.150861591611114,0.53,0.519,7.41871841897582e-05,Unchanged
3.6750828280276e-09,-0.0963726140101628,0.53,0.541,7.89738548914852e-05,Unchanged
3.78758238190969e-09,-1.63990411454687,1,0.998,8.13913578048573e-05,Down-regulated
4.02523702219044e-09,0.324365154084362,0.322,0.197,8.64983183698503e-05,Unchanged
4.35652632335781e-09,0.257469236862695,0.287,0.234,9.3617394162636e-05,Unchanged
4.73886353019928e-09,0.0805194007849331,0.417,0.409,0.000101833438400452,Unchanged
5.03029194794993e-09,-1.42072447119998,0.078,0.429,0.000108095943669496,Unchanged
5.05436675986302e-09,0.00665187687476765,0.583,0.472,0.000108613287302696,Unchanged
5.54338926991915e-09,0.579737961575655,0.374,0.116,0.000119121892021293,Unchanged
6.17771896131684e-09,-1.4601172514427,0.087,0.439,0.000132753002759738,Unchanged
6.26350431102285e-09,0.107115880636738,0.374,0.329,0.00013459644413957,Unchanged
6.33838056278395e-09,-0.213212640555228,0.791,0.837,0.000136205459913664,Unchanged
6.76457207074922e-09,1.60375209210247,0.652,0.375,0.00014536388922833,Up-regulated
7.11822558679141e-09,0.0964103470623263,0.617,0.509,0.000152963549634561,Unchanged
7.40648677949914e-09,5.52878178029218,0.209,0.039,0.000159157994404657,Up-regulated
8.61475702269260e-09,-1.54173618520008,0.087,0.392,0.000185122513660641,Down-regulated
8.64239894125842e-09,0.190477782466412,0.452,0.365,0.000185716510848702,Unchanged
8.99073694286900e-09,-1.30696753892526,0.478,0.845,0.000193201946165312,Unchanged
9.16535455156137e-09,0.49470312607883,0.504,0.228,0.000196954303958502,Unchanged
9.67738710496862e-09,0.133306681865143,0.383,0.347,0.000207957371498671,Unchanged
9.83264764144177e-09,0.101984598724028,0.313,0.273,0.000211293765166942,Unchanged
9.83561480257463e-09,0.405535553673539,0.409,0.216,0.000211357526492526,Unchanged
1.02157848231995e-08,0.0998199567438697,0.374,0.323,0.000219527000065734,Unchanged
1.04206238250261e-08,0.755736025020957,0.809,0.606,0.000223928785375986,Unchanged
1.17754045119678e-08,-0.217565540490921,0.617,0.698,0.000253041667557676,Unchanged
1.35830222165898e-08,-0.209182955510941,0.687,0.731,0.000291885564412297,Unchanged
1.46183206706741e-08,0.296516266685563,0.478,0.218,0.000314133092892115,Unchanged
1.55461580859595e-08,0.624181523977828,0.574,0.218,0.000334071391109185,Unchanged
1.60536075469903e-08,0.0940710480956383,0.348,0.241,0.000344975972577275,Unchanged
1.67547231762782e-08,0.5237698451165,0.583,0.453,0.000360042246335041,Unchanged
1.69214719438252e-08,0.135021651821602,0.304,0.241,0.00036362551060086,Unchanged
1.97345596615815e-08,0.00963675948784326,0.852,0.762,0.000424075952567725,Unchanged
1.99569243314234e-08,-2.4784523278986,0.043,0.203,0.000428854346957958,Down-regulated
2.04304537071037e-08,-0.287538074100584,0.678,0.82,0.000439030019711951,Unchanged
2.11157355498376e-08,1.16684854299048,0.687,0.406,0.000453756041230459,Unchanged
2.1525309022308e-08,-0.50572980548804,1,0.97,0.000462557365580377,Unchanged
2.1906673662401e-08,1.69130716001195,0.643,0.277,0.000470752510331334,Up-regulated
2.19354479261131e-08,-0.266774683301031,0.713,0.749,0.000471370840484244,Unchanged
2.21735663584825e-08,-0.221480913820815,0.739,0.733,0.00047648776747743,Unchanged
